SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Is_DischargeDataAvailable,RL_of_zeroGauge,MeanSeaLevel,Data Acquisition Time,River Water Level Telemetry Hourly (meter)
1,Bhutaram,Telangana SW,36,Telangana,687,BHUPALPALLY,BHUPALPALLY,-,-,Godavari,Godavari,Wardha,-,-,-,18.35305556,80.40611111,No,0,84.00,01-10-2012 06:00,0.521
2,Bhutaram,Telangana SW,36,Telangana,687,BHUPALPALLY,BHUPALPALLY,-,-,Godavari,Godavari,Wardha,-,-,-,18.35305556,80.40611111,No,0,84.00,01-10-2012 07:00,0.52
3,Bhutaram,Telangana SW,36,Telangana,687,BHUPALPALLY,BHUPALPALLY,-,-,Godavari,Godavari,Wardha,-,-,-,18.35305556,80.40611111,No,0,84.00,01-10-2012 08:00,0.515
4,Koulasanala,Telangana SW,36,Telangana,685,KAMAREDDY,Bichkunda ,-,-,Godavari,Godavari,Wardha,-,-,-,18.35305278,77.71206667,No,0,377.00,01-10-2012 06:00,2.214
5,Koulasanala,Telangana SW,36,Telangana,685,KAMAREDDY,Bichkunda ,-,-,Godavari,Godavari,Wardha,-,-,-,18.35305278,77.71206667,No,0,377.00,01-10-2012 07:00,2.202
6,Koulasanala,Telangana SW,36,Telangana,685,KAMAREDDY,Bichkunda ,-,-,Godavari,Godavari,Wardha,-,-,-,18.35305278,77.71206667,No,0,377.00,01-10-2012 08:00,2.206
7,Mandamarri,Telangana SW,36,Telangana,684,MANCHERIAL,MANCHERIAL,-,-,Godavari,Godavari,Wardha,-,-,-,19.04838611,79.44108056,No,0,192.00,01-01-2000 00:30,0.499
8,Mandamarri,Telangana SW,36,Telangana,684,MANCHERIAL,MANCHERIAL,-,-,Godavari,Godavari,Wardha,-,-,-,19.04838611,79.44108056,No,0,192.00,01-01-2000 00:45,0.499
9,Mandamarri,Telangana SW,36,Telangana,684,MANCHERIAL,MANCHERIAL,-,-,Godavari,Godavari,Wardha,-,-,-,19.04838611,79.44108056,No,0,192.00,01-01-2000 01:00,0.499
10,Mandamarri,Telangana SW,36,Telangana,684,MANCHERIAL,MANCHERIAL,-,-,Godavari,Godavari,Wardha,-,-,-,19.04838611,79.44108056,No,0,192.00,01-01-2000 01:15,0.499
11,Mandamarri,Telangana SW,36,Telangana,684,MANCHERIAL,MANCHERIAL,-,-,Godavari,Godavari,Wardha,-,-,-,19.04838611,79.44108056,No,0,192.00,01-01-2000 01:30,0.499
12,Mandamarri,Telangana SW,36,Telangana,684,MANCHERIAL,MANCHERIAL,-,-,Godavari,Godavari,Wardha,-,-,-,19.04838611,79.44108056,No,0,192.00,01-10-2012 06:00,0.119
13,Masaipet,Telangana SW,36,Telangana,513,MEDAK,MEDAK,-,-,Godavari,Godavari,Wardha,-,-,-,17.86888889,78.47194444,No,0,489.00,01-10-2012 06:00,0
14,Masaipet,Telangana SW,36,Telangana,513,MEDAK,MEDAK,-,-,Godavari,Godavari,Wardha,-,-,-,17.86888889,78.47194444,No,0,489.00,01-10-2012 07:00,0
15,Masaipet,Telangana SW,36,Telangana,513,MEDAK,MEDAK,-,-,Godavari,Godavari,Wardha,-,-,-,17.86888889,78.47194444,No,0,489.00,01-10-2012 13:00,0
16,Masaipet,Telangana SW,36,Telangana,513,MEDAK,MEDAK,-,-,Godavari,Godavari,Wardha,-,-,-,17.86888889,78.47194444,No,0,489.00,01-10-2012 19:00,0
17,Mathadivagu Projecct,Telangana SW,36,Telangana,501,ADILABAD,TALLAMADUGU,-,-,Godavari,Godavari,Wardha,-,-,-,19.70307778,78.51485833,No,0,276.90,01-01-2000 00:15,30
18,Mathadivagu Projecct,Telangana SW,36,Telangana,501,ADILABAD,TALLAMADUGU,-,-,Godavari,Godavari,Wardha,-,-,-,19.70307778,78.51485833,No,0,276.90,01-01-2000 00:30,27.432
19,Mathadivagu Projecct,Telangana SW,36,Telangana,501,ADILABAD,TALLAMADUGU,-,-,Godavari,Godavari,Wardha,-,-,-,19.70307778,78.51485833,No,0,276.90,01-01-2000 00:45,28.778
